"","Offense_Type","District","Year","Month","Day_Week","Street","Lat","Long"
"20229","residential burglary","b2","2017","6","thursday","hillside st","42.33013124","-71.10138008"
"20230","aggravated assault","d4","2017","6","thursday","massachusetts ave","42.33562126","-71.07582361"
"20231","aggravated assault","d4","2017","6","thursday","windsor st","42.33473803","-71.08357423"
"20232","aggravated assault","b3","2017","6","thursday","stockton st","42.28265604","-71.07374541"
"20233","residential burglary","e5","2017","6","wednesday","cummins hwy","42.28110635","-71.12133926"
"20234","robbery","c11","2017","6","thursday","speedwell st","42.30385286","-71.06842775"
"20235","residential burglary","e13","2017","6","wednesday","spring park ave","42.31729447","-71.11157759"
"20236","aggravated assault","d14","2017","6","wednesday","chestnut hill ave","42.34829397","-71.15383416"
"20237","robbery","d4","2017","6","wednesday","newcomb st","42.33461282","-71.07928599"
"20238","aggravated assault","b3","2017","6","wednesday","wildwood st","42.28236818","-71.08972869"
"20239","robbery","c11","2017","6","wednesday","santuit st","42.29042439","-71.0638074"
"20240","aggravated assault","e18","2017","6","wednesday","american legion hwy","42.28446743","-71.11183089"
"20241","residential burglary","b3","2017","6","wednesday","ellington st","42.30154555","-71.08118184"
"20242","homicide","c11","2017","6","wednesday","ashmont st","42.28519774","-71.0677511"
"20243","residential burglary","e13","2017","6","tuesday","boylston st","42.31699715","-71.10606776"
"20244","aggravated assault","c11","2017","6","tuesday","melbourne st","42.28993159","-71.0655056"
"20245","robbery","b2","2017","6","wednesday","alexander st","42.31694244","-71.06991213"
"20246","aggravated assault","e13","2017","6","tuesday","bickford st","42.32597067","-71.10134303"
"20247","residential burglary","b2","2017","6","tuesday","dale st","42.3214882","-71.08615983"
"20248","aggravated assault","c6","2017","6","tuesday","colonel michael j. mcdono","42.32790482","-71.05305583"
"20249","residential burglary","c11","2017","6","tuesday","washington st","42.30022551","-71.07468313"
"20250","aggravated assault","d4","2017","6","tuesday","newbury st","42.35176179","-71.07452168"
"20251","residential burglary","b2","2017","6","tuesday","creston st","42.31251728","-71.07977497"
"20252","robbery","c6","2017","6","tuesday","e eighth st","42.33124115","-71.0478155"
"20253","residential burglary","a1","2017","5","thursday","beverly st","42.36658726","-71.06019881"
"20254","aggravated assault","c6","2017","6","tuesday","mount vernon st","42.31779354","-71.04210959"
"20255","residential burglary","b2","2017","6","tuesday","bird st","42.31472025","-71.06654089"
"20256","aggravated assault","c6","2017","6","tuesday","massachusetts ave","42.32779976","-71.06771009"
"20257","aggravated assault","b3","2017","6","tuesday","goodale rd","42.2836283","-71.09349553"
"20258","residential burglary","d14","2017","6","tuesday","linden st","42.35540113","-71.13090649"
"20259","aggravated assault","c11","2017","6","tuesday","westville st","42.30010597","-71.0710271"
"20260","aggravated assault","d14","2017","6","monday","academy hill rd","42.34774669","-71.15345452"
"20261","aggravated assault","d4","2017","6","monday","tremont st","42.33640891","-71.08565039"
"20262","aggravated assault","d4","2017","6","monday","tremont st","42.33640891","-71.08565039"
"20263","aggravated assault","d4","2017","6","monday","appleton st","42.34511053","-71.0748679"
"20264","aggravated assault","a1","2017","6","monday","new chardon st","42.3626075","-71.06132725"
"20265","homicide","b3","2017","6","monday","blue hill ave","42.27783207","-71.09355491"
"20266","robbery","c6","2017","6","monday","w broadway","42.336112","-71.04665434"
"20267","robbery","a1","2017","6","saturday","school st","42.3575462","-71.05881953"
"20268","residential burglary","d4","2017","6","wednesday","tremont st","42.34440738","-71.07081091"
"20269","aggravated assault","b2","2017","6","monday","madison park ct","42.33102946","-71.08618278"
"20270","aggravated assault","c11","2017","6","monday","lincoln st","42.29979065","-71.05954439"
"20271","aggravated assault","b2","2017","6","monday","dudley st","42.31987076","-71.07096263"
"20272","robbery","b3","2017","6","monday","bernard st","42.29282591","-71.07966513"
"20273","aggravated assault","d4","2017","6","monday","massachusetts ave","42.34439568","-71.08632016"
"20274","residential burglary","e13","2017","6","sunday","sedgwick st","42.30857295","-71.11422565"
