"","Offense_Type","District","Year","Month","Day_Week","Street","Lat","Long"
"1","residential burglary","d4","2012","7","sunday","aberdeen st","42.34638135"," -71.10379454"
"2","aggravated assault","b2","2012","7","sunday","howard av","42.31684135"," -71.07458456"
"3","robbery","d4","2012","7","sunday","jersey st","42.34284135"," -71.09698955"
"4","robbery","e18","2012","7","sunday","collins st","42.27051636"," -71.11989955"
"5","robbery","c11","2012","7","sunday","sydney st","42.31328183"," -71.0530059"
"6","robbery","b2","2012","7","sunday","regent st","42.32425136"," -71.08620956"
"7","residential burglary","b3","2012","7","sunday","catbird court","42.28813781"," -71.0948495"
"8","aggravated assault","c6","2012","7","sunday","w broadway","42.33614915"," -71.0467171"
"9","robbery","c11","2012","7","sunday","fuller st","42.28245637"," -71.06981457"
"10","aggravated assault","c6","2012","7","sunday","w broadway","42.33614915"," -71.0467171"
"11","robbery","b2","2012","7","sunday","shawmut av","42.33326635"," -71.08299956"
"12","aggravated assault","b2","2012","7","sunday","langdon st","42.32542135"," -71.06966956"
"13","residential burglary","e18","2012","7","sunday","hallron st","42.26850953"," -71.12883588"
"14","robbery","b2","2012","7","sunday","warren st","42.31335135"," -71.08361455"
"15","aggravated assault","d14","2012","7","sunday","tremont st","42.35120135"," -71.17311952"
"16","aggravated assault","b3","2012","7","sunday","norfolk st","42.28820136"," -71.07680956"
"17","aggravated assault","b3","2012","7","sunday","whitman st","42.28702136"," -71.07707955"
"18","aggravated assault","c11","2012","7","sunday","hamilton st","42.30815635"," -71.06966456"
"19","residential burglary","e18","2012","7","sunday","child st","42.25678059"," -71.12916296"
"20","aggravated assault","a1","2012","7","monday","tremont st","42.34969134"," -71.06520956"
"21","aggravated assault","b3","2012","7","monday","norfolk st","42.28424136"," -71.08112956"
"22","residential burglary","d4","2012","7","monday","tremont st","42.34111635"," -71.07693456"
"23","residential burglary","d4","2012","7","monday","tremont st","42.34111635"," -71.07693456"
"24","residential burglary","c11","2012","7","monday","midland st","42.31135135"," -71.05460457"
"25","aggravated assault","d4","2012","7","monday","w springfield st","42.33794635"," -71.07750455"
"26","robbery","d4","2012","7","monday","washington st","42.34445634"," -71.06560956"
"27","robbery","d14","2012","7","monday","commonwealth av","42.35061784"," -71.12851965"
"28","aggravated assault","b3","2012","7","monday","blue hill av","42.26867137"," -71.09379956"
"29","robbery","d14","2012","7","monday","glenville av","42.35047863"," -71.13290212"
"30","robbery","e18","2012","7","monday","hyde park av","42.25332425"," -71.12466158"
"31","robbery","b3","2012","7","monday","talbot av","42.29041636"," -71.07270956"
"32","residential burglary","e5","2012","7","monday","metropolitan av","42.27931764"," -71.12993814"
"33","residential burglary","e13","2012","7","monday","northbourne rd","42.29173624"," -71.11528811"
"34","robbery","e18","2012","7","monday","washington st","42.24662137"," -71.11893955"
"35","residential burglary","e18","2012","7","monday","summer st","42.25862165"," -71.12519913"
"36","aggravated assault","b3","2012","7","monday","jacob st","42.28537261"," -71.0835041"
"37","residential burglary","a1","2012","7","monday","wiget st","42.36396134"," -71.05597956"
"38","robbery","a7","2012","7","monday","border st","42.37619134"," -71.03980956"
"39","aggravated assault","b2","2012","7","monday","w cottage st","42.32042135"," -71.07776956"
"40","aggravated assault","c6","2012","7","tuesday","boston st","42.32501543"," -71.05924631"
"41","robbery","d14","2012","7","tuesday","commonwealth av","42.34505135"," -71.14232954"
"42","aggravated assault","d4","2012","7","tuesday","e lenox st","42.33455599"," -71.07818596"
"43","residential burglary","a1","2012","7","tuesday","washington st","42.34809134"," -71.06420956"
"44","residential burglary","b3","2012","7","tuesday","darlington st","42.28928136"," -71.07583456"
"45","residential burglary","b3","2012","7","tuesday","babson st","42.27080515"," -71.09260083"
"46","aggravated assault","c11","2012","7","tuesday","hancock st","42.31282136"," -71.06476957"
"47","robbery","e18","2012","7","tuesday","american legion hy","42.28405295"," -71.11241077"
"48","aggravated assault","b2","2012","7","tuesday","washington st","42.32888135"," -71.08506956"
"49","aggravated assault","b2","2012","7","tuesday","malcolm x bl","42.32997135"," -71.08690455"
"50","aggravated assault","b2","2012","7","tuesday","malcolm x bl","42.32997135"," -71.08690455"
"51","homicide","b2","2012","7","tuesday","malcolm x bl","42.32997135"," -71.08690455"
"52","aggravated assault","c6","2012","7","tuesday","w 9th st","42.33315135"," -71.05246456"
"53","residential burglary","b3","2012","7","tuesday","glenway st","42.30065635"," -71.08325955"
"54","aggravated assault","c11","2012","7","tuesday","bowdoin av","42.30089405"," -71.07427992"
"55","residential burglary","e18","2012","7","tuesday","river st","42.25549136"," -71.12617954"
"56","residential burglary","e18","2012","7","tuesday","linwood st","42.25629137"," -71.12721453"
"57","aggravated assault","e13","2012","7","tuesday","bragdon st","42.31885635"," -71.09931955"
"58","aggravated assault","c6","2012","7","tuesday","pulaski av","42.33710635"," -71.04685957"
"59","robbery","b3","2012","7","tuesday","athelwold st","42.29653136"," -71.07477956"
"60","aggravated assault","b2","2012","7","tuesday","washington st","42.30542136"," -71.08057956"
"61","aggravated assault","a15","2012","7","wednesday","monument sq","42.37639134"," -71.05985956"
"62","robbery","d14","2012","7","wednesday","cambridge st","42.35490135"," -71.13419954"
"63","aggravated assault","a1","2012","7","wednesday","kilby st","42.35895135"," -71.05592957"
"64","residential burglary","c11","2012","7","wednesday","mather st","42.29446666"," -71.0642023"
"65","residential burglary","c11","2012","7","wednesday","bentham rd","42.30326635"," -71.06364956"
"66","residential burglary","d14","2012","7","wednesday","chester st","42.35158421"," -71.12864024"
"67","aggravated assault","c11","2012","7","wednesday","bowdoin st","42.30751635"," -71.06562956"
"68","residential burglary","e5","2012","7","wednesday","bank st","42.29285636"," -71.16683453"
"69","robbery","b2","2012","7","wednesday","warren st","42.32973635"," -71.08325955"
"70","aggravated assault","b2","2012","7","wednesday","blue hill av","42.31737135"," -71.07798456"
"71","aggravated assault","a7","2012","7","wednesday","saratoga st","42.38674064"," -71.00911415"
"72","aggravated assault","b3","2012","7","wednesday","corbet st","42.28294704"," -71.08357992"
"73","aggravated assault","c6","2012","7","wednesday","massachusetts av","42.33151135"," -71.07083456"
"74","aggravated assault","c6","2012","7","wednesday","e 3rd st","42.33645135"," -71.03745958"
"75","robbery","e18","2012","7","thursday","fairmount av","42.25292494"," -71.11866197"
"76","residential burglary","b2","2012","7","thursday","quincy st","42.31315635"," -71.07553456"
"77","residential burglary","b2","2012","7","thursday","walnut av","42.32178635"," -71.08534456"
"78","residential burglary","e13","2012","7","thursday","custer st","42.30745053"," -71.1163492"
"79","residential burglary","e5","2012","7","thursday","spring st","42.2762352"," -71.16644825"
"80","aggravated assault","b2","2012","7","thursday","columbia rd","42.30348136"," -71.08500956"
"81","residential burglary","d14","2012","7","thursday","allston st","42.35207505"," -71.13529658"
"82","residential burglary","b2","2012","7","thursday","sargent st","42.31596163"," -71.07381757"
"83","residential burglary","b2","2012","7","thursday","tetlow st","42.33758135"," -71.09943955"
"84","robbery","c6","2012","7","thursday","w broadway","42.33614915"," -71.0467171"
"85","aggravated assault","a7","2012","7","thursday","brandywyne dr","42.38594074"," -71.01321996"
"86","aggravated assault","d4","2012","7","thursday","northampton st","42.33662635"," -71.07843955"
"87","aggravated assault","a7","2012","7","thursday","bennington st","42.38508634"," -71.01148958"
"88","residential burglary","c11","2012","7","thursday","washington st","42.27302871"," -71.06981192"
"89","residential burglary","e13","2012","7","thursday","st joseph st","42.30641135"," -71.11879954"
"90","residential burglary","c11","2012","7","thursday","victory rd","42.29576135"," -71.05582456"
"91","residential burglary","b3","2012","7","thursday","standard st","42.27457836"," -71.08001927"
"92","aggravated assault","a7","2012","7","thursday","lexington st","42.38069134"," -71.02957958"
"93","residential burglary","e18","2012","7","thursday","river st","42.25536636"," -71.12701954"
"94","aggravated assault","b3","2012","7","thursday","hannon st","42.28187037"," -71.0855491"
"95","residential burglary","d4","2012","7","thursday","st botolph st","42.34615872"," -71.07924793"
"96","residential burglary","b3","2012","7","thursday","w selden st","42.27369136"," -71.08924956"
"97","residential burglary","d4","2012","7","thursday","e brookline st","42.33920635"," -71.07202956"
"98","aggravated assault","c11","2012","7","thursday","blackwell st","42.28810136"," -71.04683957"
"99","robbery","a1","2012","7","thursday","e india row","42.35794766"," -71.05081372"
"100","aggravated assault","c11","2012","7","friday","bellevue st","42.3120595"," -71.06817684"
"101","aggravated assault","b2","2012","7","friday","horadan wy","42.33371135"," -71.09665955"
"102","residential burglary","d14","2012","7","friday","woodstock av","42.34512135"," -71.13840954"
"103","aggravated assault","d4","2012","7","friday","exeter st","42.34866135"," -71.07910956"
"104","residential burglary","d14","2012","7","friday","gardner st","42.35351135"," -71.13116954"
"105","aggravated assault","d14","2012","7","friday","commonwealth av","42.35047603"," -71.12773519"
"106","robbery","b2","2012","7","friday","centre st","42.32486135"," -71.09800455"
"107","aggravated assault","c11","2012","7","friday","fox st","42.30608635"," -71.06426956"
"108","aggravated assault","a1","2012","7","friday","congress st","42.36272959"," -71.05875616"
"109","robbery","d4","2012","7","friday","boylston st","42.34923635"," -71.08036955"
"110","robbery","d4","2012","7","friday","shawmut av","42.33688135"," -71.07874956"
"111","aggravated assault","b3","2012","7","friday","norfolk st","42.28832136"," -71.07626956"
"112","robbery","a1","2012","7","friday","avenue de lafayette","42.35324634"," -71.06101456"
"113","residential burglary","b2","2012","7","friday","devon st","42.30926958"," -71.0787186"
"114","robbery","a1","2012","7","friday","boylston st","42.35237134"," -71.06490456"
"115","residential burglary","b3","2012","7","friday","wilmore st","42.27795136"," -71.09246955"
"116","aggravated assault","b3","2012","7","friday","blue hill av","42.27142136"," -71.09373955"
"117","residential burglary","c11","2012","7","friday","josephine st","42.30052136"," -71.06494457"
"118","aggravated assault","b2","2012","7","friday","normandy st","42.31069135"," -71.07876956"
"119","robbery","b2","2012","7","friday","columbia rd","42.30754136"," -71.07608956"
"120","aggravated assault","c11","2012","7","friday","norton st","42.30519635"," -71.06748956"
"121","aggravated assault","d4","2012","7","friday","park dr","42.34481135"," -71.09458955"
"122","robbery","a1","2012","7","friday","staniford st","42.36409135"," -71.06335957"
"123","residential burglary","b2","2012","7","friday","riverway","42.34324373"," -71.10423235"
"124","robbery","b2","2012","7","friday","rockland st","42.32204135"," -71.08376956"
"125","residential burglary","c6","2012","7","saturday","middle st","42.33194923"," -71.05599596"
"126","aggravated assault","e13","2012","7","saturday","wardman rd","42.31530135"," -71.09485955"
"127","aggravated assault","c11","2012","7","saturday","parkman st","42.2965098"," -71.0596827"
"128","robbery","c6","2012","7","saturday","boston st","42.32501543"," -71.05924631"
"129","aggravated assault","a1","2012","7","saturday","canal st","42.36394634"," -71.05943956"
"130","robbery","d14","2012","7","saturday","commonwealth av","42.34879135"," -71.13802954"
"131","robbery","c11","2012","7","saturday","bowdoin st","42.30336136"," -71.07139956"
"132","aggravated assault","c11","2012","7","saturday","hecla st","42.30675215"," -71.06028047"
"133","robbery","a7","2012","7","saturday","meridian st","42.37712134"," -71.03917957"
"134","robbery","a7","2012","7","saturday","brook st","42.37841134"," -71.03471957"
"135","residential burglary","b3","2012","7","saturday","ames st","42.28986314"," -71.08538741"
"136","residential burglary","b3","2012","7","saturday","hiawatha rd","42.27684157"," -71.09523462"
"137","aggravated assault","b2","2012","7","saturday","st james pl","42.32669135"," -71.08685955"
"138","residential burglary","c11","2012","7","saturday","tremlett st","42.29527599"," -71.06773809"
"139","aggravated assault","b2","2012","7","saturday","brookford st","42.31834044"," -71.07743818"
"140","residential burglary","d14","2012","7","saturday","orkney rd","42.33694238"," -71.14959835"
"141","residential burglary","c11","2012","7","saturday","tremlett st","42.29539062"," -71.06778894"
"142","aggravated assault","a7","2012","7","saturday","marion st","42.37923634"," -71.03799957"
"143","aggravated assault","b2","2012","7","saturday","dudley st","42.31700135"," -71.06508957"
"144","aggravated assault","b3","2012","7","saturday","norwell st","42.29440136"," -71.07810956"
"145","robbery","b2","2012","7","saturday","dudley st","42.32849135"," -71.08086956"
"146","aggravated assault","c11","2012","7","saturday","columbia rd","42.31126136"," -71.07002957"
"147","residential burglary","c11","2012","7","saturday","victory rd","42.2960216"," -71.05299667"
"148","robbery","d4","2012","7","sunday","park dr","42.34197135"," -71.09651955"
"149","robbery","d4","2012","7","sunday","tremont st","42.34607829"," -71.0693661"
"150","aggravated assault","b3","2012","7","sunday","crowell st","42.28295636"," -71.08194955"
"151","robbery","a7","2012","7","sunday","monmouth st","42.37940134"," -71.03923957"
"152","residential burglary","c11","2012","7","sunday","coleman st","42.30904635"," -71.06509956"
"153","residential burglary","c11","2012","7","sunday","linden st","42.30567636"," -71.06012957"
"154","robbery","b2","2012","7","sunday","dudley st","42.32104128"," -71.07209693"
"155","residential burglary","e13","2012","7","sunday","green st","42.31271135"," -71.11231455"
"156","robbery","b2","2012","7","sunday","tremont st","42.33193579"," -71.09381871"
"157","residential burglary","c11","2012","7","sunday","alpha rd","42.29587136"," -71.06852957"
"158","residential burglary","c6","2012","7","sunday","e broadway","42.33550972"," -71.0428945"
"159","aggravated assault","b3","2012","7","sunday","fuller st","42.28071137"," -71.07712957"
"160","robbery","e13","2012","7","sunday","paul gore st","42.31972341"," -71.1084199"
"161","robbery","a1","2012","7","sunday","summer st","42.35257134"," -71.05529956"
"162","aggravated assault","e13","2012","7","sunday","horan wy","42.32538828"," -71.10287429"
"163","robbery","a7","2012","7","monday","falcon st","42.38197634"," -71.03476457"
"164","residential burglary","a7","2012","7","monday","havre st","42.37625134"," -71.03443958"
"165","residential burglary","d14","2012","7","monday","chiswick rd","42.33995198"," -71.15046934"
"166","homicide","d4","2012","7","monday","shawmut av","42.34665634"," -71.06590956"
"167","aggravated assault","d4","2012","7","monday","herald st","42.34687135"," -71.06582957"
"168","homicide","d4","2012","7","monday","shawmut av","42.34687135"," -71.06582957"
"169","residential burglary","a1","2012","7","monday","longfellow pl","42.36358939"," -71.06417862"
"170","robbery","b3","2012","7","monday","blue hill av","42.26959636"," -71.09377455"
"171","robbery","c11","2012","7","monday","dorchester av","42.28831136"," -71.06358456"
"172","robbery","b2","2012","7","monday","columbia rd","42.31576135"," -71.06645456"
"173","aggravated assault","c11","2012","7","monday","bowdoin st","42.30394136"," -71.07029957"
"174","aggravated assault","c6","2012","7","monday","orton marotta wy","42.33883135"," -71.05622957"
"175","aggravated assault","b2","2012","7","monday","mcgreevey wy","42.33458635"," -71.09682955"
"176","robbery","d4","2012","7","monday","commonwealth av","42.35057635"," -71.08372456"
"177","aggravated assault","b3","2012","7","monday","elmhurst st","42.28903136"," -71.07658455"
"178","residential burglary","e18","2012","7","monday","bradlee ct","42.26982636"," -71.11695455"
"179","robbery","b2","2012","7","monday","highland st","42.32386136"," -71.09326956"
"180","aggravated assault","a7","2012","7","monday","border st","42.37619134"," -71.03980956"
"181","aggravated assault","e18","2012","7","monday","pierce st","42.25711899"," -71.11717937"
"182","robbery","d14","2012","7","monday","market st","42.35355135"," -71.15071953"
"183","residential burglary","c11","2012","7","monday","marlowe st","42.29817135"," -71.06403456"
"184","robbery","c11","2012","7","monday","tonawanda st","42.29840138"," -71.06817959"
"185","aggravated assault","c11","2012","7","monday","park st","42.29784135"," -71.06333956"
"186","aggravated assault","b3","2012","7","tuesday","harvard st","42.29343962"," -71.08950701"
"187","aggravated assault","c11","2012","7","tuesday","charles st","42.30021135"," -71.06311456"
"188","aggravated assault","b2","2012","7","tuesday","hartwell st","42.30935135"," -71.08416456"
"189","residential burglary","e18","2012","7","tuesday","hyde park av","42.25972163"," -71.12310371"
"190","residential burglary","b3","2012","7","tuesday","spencer st","42.29658135"," -71.07692456"
"191","residential burglary","c11","2012","7","tuesday","tuttle st","42.31352063"," -71.0536397"
"192","aggravated assault","a1","2012","7","tuesday","boylston st","42.35237134"," -71.06490456"
"193","residential burglary","a1","2012","7","tuesday","winter st","42.35602134"," -71.06174456"
"194","aggravated assault","a1","2012","7","tuesday","thoreau pa","42.36429134"," -71.06628956"
"195","aggravated assault","a1","2012","7","tuesday","thoreau pa","42.36429134"," -71.06628956"
"196","residential burglary","b3","2012","7","tuesday","boyden st","42.28846636"," -71.08147456"
"197","aggravated assault","b3","2012","7","tuesday","blue hill av","42.28814636"," -71.09006456"
"198","aggravated assault","c11","2012","7","tuesday","washington st","42.28164136"," -71.07111456"
"199","aggravated assault","d14","2012","7","tuesday","franklin st","42.35592135"," -71.13284954"
"200","residential burglary","e18","2012","7","tuesday","metropolitan av","42.27558636"," -71.12531954"
"201","robbery","c6","2012","7","tuesday","massachusetts av","42.32929635"," -71.06899456"
"202","residential burglary","b2","2012","7","tuesday","stanwood st","42.30868213"," -71.07933421"
"203","residential burglary","d14","2012","7","wednesday","ashford st","42.35452521"," -71.12746579"
"204","aggravated assault","a15","2012","7","wednesday","medford st","42.38077134"," -71.06155956"
"205","aggravated assault","d14","2012","7","wednesday","commonwealth av","42.34445635"," -71.14272454"
"206","robbery","c11","2012","7","wednesday","melville av","42.29378636"," -71.07002457"
"207","robbery","b2","2012","7","wednesday","washington st","42.32974135"," -71.08452455"
"208","robbery","e18","2012","7","wednesday","edwardson st","42.26383137"," -71.11035955"
"209","aggravated assault","b3","2012","7","wednesday","lorna rd","42.27973136"," -71.08248456"
"210","robbery","c6","2012","7","wednesday","mohawk st","42.32893635"," -71.05571956"
"211","aggravated assault","b2","2012","7","wednesday","dudley st","42.32848096"," -71.08119484"
"212","residential burglary","e5","2012","7","wednesday","carol cr","42.26831636"," -71.15048953"
"213","residential burglary","b2","2012","7","wednesday","dudley st","42.32159368"," -71.07224047"
"214","robbery","c6","2012","7","wednesday","massachusetts av","42.32731635"," -71.06731956"
"215","residential burglary","d14","2012","7","thursday","falkland st","42.35441135"," -71.15820953"
"216","residential burglary","e13","2012","7","thursday","brown tr","42.31191135"," -71.11358454"
"217","residential burglary","d14","2012","7","thursday","sutherland rd","42.34024135"," -71.14796453"
"218","residential burglary","e13","2012","7","thursday","lakeville rd","42.31638642"," -71.11499169"
"219","residential burglary","a7","2012","7","thursday","bennington st","42.38868069"," -70.99891961"
"220","residential burglary","e18","2012","7","thursday","easton av","42.25059584"," -71.12309745"
"221","aggravated assault","b3","2012","7","thursday","fessenden st","42.27856075"," -71.092001"
"222","residential burglary","e5","2012","7","thursday","brookway rd","42.2925326"," -71.11971445"
"223","residential burglary","d4","2012","7","thursday","commonwealth av","42.35318635"," -71.07266456"
"224","robbery","a7","2012","7","thursday","meridian st","42.37595634"," -71.03911957"
"225","residential burglary","e13","2012","7","thursday","chestnut av","42.31417837"," -71.10828701"
"226","robbery","c6","2012","7","thursday","westwind rd","42.32068135"," -71.04271457"
"227","aggravated assault","b3","2012","7","thursday","harvard st","42.28967408"," -71.09207321"
"228","aggravated assault","e5","2012","7","thursday","centre st","42.28725137"," -71.15003954"
"229","aggravated assault","c11","2012","7","friday","gibson st","42.29754136"," -71.05973457"
"230","aggravated assault","c11","2012","7","friday","dorchester av","42.27825136"," -71.06642456"
"231","aggravated assault","a7","2012","7","friday","saratoga st","42.37787634"," -71.03302457"
"232","robbery","a7","2012","7","friday","chelsea st","42.37405634"," -71.03392957"
"233","robbery","c11","2012","7","friday","pearl st","42.31491136"," -71.05833456"
"234","aggravated assault","a1","2012","7","friday","court st","42.35882804"," -71.05836216"
"235","robbery","a7","2012","7","friday","bennington st","42.37723634"," -71.03269957"
"236","residential burglary","e5","2012","7","friday","margaretta dr","42.25620202"," -71.1458565"
"237","residential burglary","e18","2012","7","friday","fairlawn av","42.26841636"," -71.10019957"
"238","residential burglary","a1","2012","7","friday","endicott st","42.36484134"," -71.05730956"
"239","residential burglary","d14","2012","7","friday","cambridge st","42.35174332"," -71.14254796"
"240","aggravated assault","b3","2012","7","friday","norfolk st","42.27923636"," -71.08928456"
"241","robbery","a1","2012","7","friday","school st","42.35754362"," -71.05886606"
"242","aggravated assault","b2","2012","7","friday","shawmut av","42.32993613"," -71.08570884"
"243","residential burglary","b2","2012","7","friday","homestead st","42.31121103"," -71.08915114"
"244","robbery","c6","2012","7","friday","mt vernon st","42.31906135"," -71.04578956"
"245","residential burglary","b2","2012","7","friday","thornton st","42.32337186"," -71.09105965"
"246","robbery","e13","2012","7","friday","carolina av","42.30765136"," -71.11546955"
"247","residential burglary","d14","2012","7","friday","allston st","42.34545784"," -71.13949012"
"248","aggravated assault","b2","2012","7","friday","rand pl","42.31904135"," -71.07619956"
"249","robbery","b3","2012","7","friday","talbot av","42.29174136"," -71.07718956"
"250","aggravated assault","d4","2012","7","friday","yawkey wy","42.34618135"," -71.09862455"
"251","aggravated assault","c6","2012","7","friday","melnea cass bl","42.33255635"," -71.07232956"
"252","robbery","c11","2012","7","friday","dorchester av","42.30755136"," -71.05844957"
"253","robbery","b2","2012","7","friday","hillside st","42.33011906"," -71.10136665"
"254","residential burglary","c11","2012","7","saturday","taft st","42.31732982"," -71.05791647"
"255","residential burglary","c11","2012","7","saturday","taft st","42.31732982"," -71.05791647"
"256","aggravated assault","a1","2012","7","saturday","beach st","42.35138634"," -71.06082456"
"257","robbery","a1","2012","7","saturday","arlington st","42.34839135"," -71.06926957"
"258","aggravated assault","c11","2012","7","saturday","greenbrier st","42.29640273"," -71.07042454"
"259","residential burglary","e13","2012","7","saturday","boylston st","42.31918473"," -71.11104159"
"260","aggravated assault","c6","2012","7","saturday","e 8th st","42.33124135"," -71.04737957"
"261","aggravated assault","a7","2012","7","saturday","paris st","42.37579134"," -71.03371457"
"262","residential burglary","e18","2012","7","saturday","avila rd","42.25591137"," -71.12780454"
"263","robbery","c11","2012","7","saturday","dorchester av","42.29429635"," -71.06191456"
"264","residential burglary","c11","2012","7","saturday","taft st","42.31732982"," -71.05791647"
"265","robbery","b3","2012","7","saturday","hosmer st","42.28079637"," -71.09039953"
"266","residential burglary","d14","2012","7","sunday","lake st","42.34126625"," -71.16602131"
"267","aggravated assault","b3","2012","7","sunday","blue hill av","42.29488136"," -71.08802956"
"268","aggravated assault","a1","2012","7","sunday","portland st","42.36426634"," -71.06165955"
"269","residential burglary","d14","2012","7","sunday","braemore rd","42.33838665"," -71.15158438"
"270","residential burglary","d14","2012","7","sunday","ashford st","42.35455043"," -71.12670472"
"271","residential burglary","a1","2012","7","sunday","washington st","42.35505634"," -71.06084456"
"272","residential burglary","d4","2012","7","sunday","trotter ct","42.33614135"," -71.08162456"
"273","residential burglary","a7","2012","7","sunday","horace st","42.38232134"," -71.01686458"
"274","robbery","b2","2012","7","sunday","longwood av","42.34033135"," -71.10985955"
"275","residential burglary","c11","2012","7","sunday","olney st","42.30553135"," -71.07174456"
"276","residential burglary","d14","2012","7","sunday","kirkwood rd","42.34118809"," -71.15750531"
"277","robbery","c11","2012","7","sunday","westville st","42.30011498"," -71.07108061"
"278","robbery","c11","2012","7","sunday","gallivan bl","42.28339136"," -71.05002457"
"279","residential burglary","a7","2012","7","sunday","bennington st","42.38223634"," -71.01938958"
"280","robbery","c11","2012","7","sunday","dorchester av","42.28988136"," -71.06313956"
"281","robbery","c11","2012","7","sunday","washington st","42.29300635"," -71.07184956"
"282","aggravated assault","b2","2012","7","sunday","humboldt av","42.30987635"," -71.09213455"
"283","aggravated assault","b2","2012","7","sunday","warren st","42.32939135"," -71.08335956"
"284","residential burglary","c11","2012","7","sunday","arcadia st","42.30147635"," -71.06252456"
"285","robbery","b2","2012","7","sunday","alleghany st","42.33061136"," -71.09969454"
"286","aggravated assault","b2","2012","7","sunday","annunciation rd","42.33495566"," -71.09373917"
"287","aggravated assault","d14","2012","7","sunday","brighton av","42.35266135"," -71.12926954"
"288","residential burglary","b2","2012","7","monday","shawmut av","42.33103135"," -71.08485455"
"289","robbery","a1","2012","7","monday","state st","42.35878634"," -71.05740456"
"290","robbery","c11","2012","7","monday","ashmont st","42.28537136"," -71.07119956"
"291","residential burglary","a7","2012","7","monday","falcon st","42.38198635"," -71.03770957"
"292","residential burglary","c11","2012","7","monday","mather st","42.29397363"," -71.06595309"
"293","robbery","c11","2012","7","monday","geneva av","42.29848136"," -71.06315456"
"294","residential burglary","e5","2012","7","monday","durnell av","42.28542135"," -71.1367857"
"295","residential burglary","b3","2012","7","monday","calder st","42.29710636"," -71.08805955"
"296","robbery","e13","2012","7","monday","columbus av","42.31375635"," -71.09578955"
"297","aggravated assault","e5","2012","7","monday","grove st","42.26133137"," -71.15705954"
"298","robbery","c6","2012","7","monday","dorchester st","42.33091635"," -71.05422956"
"299","residential burglary","c6","2012","7","monday","n point dr","42.32033135"," -71.04375457"
"300","residential burglary","e13","2012","7","monday","child st","42.30694135"," -71.11216455"
"301","robbery","b3","2012","7","monday","evans st","42.28306136"," -71.07676956"
"302","aggravated assault","c6","2012","7","monday","e broadway","42.33558135"," -71.03742958"
"303","robbery","c11","2012","7","monday","olney st","42.30547923"," -71.07267361"
"304","robbery","c11","2012","7","monday","ashmont st","42.28516136"," -71.06775956"
"305","robbery","b2","2012","7","monday","huntington av","42.33534135"," -71.10144955"
"306","aggravated assault","c6","2012","7","monday","w 7th st","42.33696135"," -71.05500956"
"307","robbery","a1","2012","7","monday","atlantic av","42.35262135"," -71.05542957"
"308","aggravated assault","b2","2012","7","monday","blue hill av","42.31709635"," -71.07803456"
"309","residential burglary","b2","2012","7","tuesday","dudley st","42.31848635"," -71.06850456"
"310","residential burglary","c11","2012","7","tuesday","regina rd","42.29525136"," -71.07097456"
"311","residential burglary","e5","2012","7","tuesday","birch st","42.28584136"," -71.13119455"
"312","residential burglary","e5","2012","7","tuesday","birch st","42.28584136"," -71.13119455"
"313","residential burglary","c11","2012","7","tuesday","saxton st","42.31551635"," -71.05368457"
"314","residential burglary","d14","2012","7","tuesday","brighton av","42.35260135"," -71.12881454"
"315","residential burglary","e18","2012","7","tuesday","easton av","42.25059584"," -71.12309745"
"316","robbery","c11","2012","7","tuesday","washington st","42.29523136"," -71.07208456"
"317","residential burglary","c11","2012","7","tuesday","percival st","42.30537135"," -71.06322956"
"318","robbery","a7","2012","7","tuesday","maverick sq","42.36897634"," -71.03941457"
"319","robbery","b2","2012","7","tuesday","seaver st","42.30869467"," -71.09044998"
"320","residential burglary","c6","2012","7","tuesday","athens st","42.34071635"," -71.05267456"
"321","robbery","a7","2012","7","wednesday","central sq","42.37468775"," -71.03891217"
"322","aggravated assault","c11","2012","7","wednesday","lonsdale st","42.29035637"," -71.06139457"
"323","aggravated assault","b3","2012","7","wednesday","shandon rd","42.29538451"," -71.08926776"
"324","residential burglary","d14","2012","7","wednesday","lothian rd","42.3403538"," -71.15384822"
"325","residential burglary","b3","2012","7","wednesday","seaver st","42.30302586"," -71.08071843"
"326","aggravated assault","d4","2012","7","wednesday","newbury st","42.35114135"," -71.07665956"
"327","residential burglary","b3","2012","7","wednesday","erie st","42.30272135"," -71.07976956"
"328","aggravated assault","d4","2012","7","wednesday","harrison av","42.34493135"," -71.06375956"
"329","residential burglary","d4","2012","7","wednesday","tremont st","42.34181135"," -71.07565956"
"330","residential burglary","c6","2012","7","wednesday","boston st","42.32658135"," -71.05856456"
"331","residential burglary","b3","2012","7","wednesday","goodale rd","42.2835683"," -71.09354788"
"332","residential burglary","d4","2012","7","wednesday","brookline av","42.34422635"," -71.10163955"
"333","residential burglary","d14","2012","7","wednesday","summit av","42.34546389"," -71.14046241"
"334","aggravated assault","a1","2012","7","wednesday","cambridge st","42.36126885"," -71.06252371"
"335","aggravated assault","d14","2012","7","wednesday","tremont st","42.35120135"," -71.17311952"
"336","robbery","b3","2012","7","wednesday","cummins hy","42.26795957"," -71.09472696"
"337","residential burglary","b2","2012","7","wednesday","blue hill av","42.32013665"," -71.07777631"
"338","robbery","c11","2012","7","wednesday","moseley st","42.32068135"," -71.05436956"
"339","residential burglary","a15","2012","7","wednesday","bunker hill st","42.37735134"," -71.05797456"
"340","robbery","d4","2012","7","wednesday","tremont st","42.33623135"," -71.08584956"
